id,name,reitDollarsInvestedInElement,reitName,reitId,strategy,reitName.1,coverPhotoUrl,thumbnailUrl,status,projectType,address,city,state,zip,lat,lon,submarket,structure,realizedReturn,totalSize,acquisitionDate,exitDate,blendedReturnProjection,annualInterestRate,projectedReturnLowerBound,projectedReturnUpperBound,returnRateType,riskScore,rating,inScopeForInvestorSubmissions,market,geoJson
248,Creative Office,4065000.0,West Coast eREIT,5,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",West Coast eREIT,images/reit-elements/248/3635a73c-1170-47d9-adec-48ab9057cd37.jpg,images/reit-elements/248/99a792f8-3e0a-4c03-8c99-6d255339126c.jpg,ACTIVE,Creative Office,Address not disclosed,Los Angeles,CA,90016,34.02528,-118.33616,Jefferson Park,Common Equity,0.0,4065000,2019-07-22T00:00:00.000-04:00,,False,0.0,0.11,0.16,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
249,Multifamily,1152000.0,Growth eREIT II,12,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Growth eREIT II,images/reit-elements/249/13e63849-ebac-489c-b7af-9f67bdfd8ba5.jpg,images/reit-elements/249/528ae51e-5dc1-4748-806d-b041f15d79af.jpg,ACTIVE,Multifamily,Address not disclosed,Los Angeles,CA,90016,34.024102,-118.34375,Jefferson Park,Common Equity,0.0,1152000,2019-08-02T00:00:00.000-04:00,,False,0.0,0.051,0.136,PROJECTED_RETURN_RANGE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
250,Creative Office,4120000.0,Growth eREIT II,12,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Growth eREIT II,images/reit-elements/250/f6d69da6-8dea-44f8-a673-3710ce95603c.jpg,images/reit-elements/250/02f9560a-0f35-466d-b8f5-f642bf96de2a.jpg,ACTIVE,Creative Office,Address not disclosed,Los Angeles,CA,90016,34.02581,-118.34119,Jefferson Park,Common Equity,0.0,4120000,2019-08-07T00:00:00.000-04:00,,False,0.0,0.064,0.12,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
251,Multifamily,4195000.0,Development eREIT,16,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Development eREIT,images/reit-elements/251/8812bee4-38bf-4ff4-a5db-cca39d7e2f1b.jpg,images/reit-elements/251/01418eee-9916-4b6d-a99b-ded38e295161.jpg,ACTIVE,Multifamily,Address not disclosed,Los Angeles,CA,90016,34.024196,-118.334727,South LA,Common Equity,0.0,4195000,2019-07-31T00:00:00.000-04:00,,False,0.0,0.096,0.155,PROJECTED_RETURN_RANGE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
252,Belterra Apartments,4427753.0,Heartland eREIT,4,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Heartland eREIT,images/reit-elements/252/97d8ad89-a36f-4dbc-96a4-f241820cdbdb.jpg,images/reit-elements/252/1b6bcfd4-8a2b-4bcb-88fb-122a3fae7a26.jpg,ACTIVE,Multifamily,13015 Audelia Road,Dallas,TX,75243,32.924721,-96.71911,,Preferred Equity,0.0,4427753,2019-08-15T00:00:00.000-04:00,,True,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
253,Estancia Apartments,3102247.0,Heartland eREIT,4,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Heartland eREIT,images/reit-elements/253/29bc4ae5-a1de-450d-b311-d51f22f65a40.jpg,images/reit-elements/253/8b4f3eed-52d8-455b-b424-576001050bf0.jpg,ACTIVE,Multifamily,13030 Audelia Road,Dallas,TX,75243,32.924584,-96.715232,,Preferred Equity,0.0,3102247,2019-08-15T00:00:00.000-04:00,,True,0.09,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
254,The Watson Apartments,4275000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/254/b068039e-b77e-4cc5-8c42-fe3acf755a81.jpg,images/reit-elements/254/ab7a6268-fa99-4615-8b4c-f8f72cc15572.jpg,REDEEMED,Multifamily,3090 Outlet Pkwy,Grand Prairie,TX,75052,32.683089,-97.06117,,Preferred Equity,0.095,4275000,2019-09-06T00:00:00.000-04:00,2021-04-15T00:00:00.000-04:00,False,0.095,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
255,Park 20 Apartments,7000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/255/18129edd-936f-4bfc-b2fd-6b2af394999b.jpg,images/reit-elements/255/90b443d4-8eb2-4835-9b22-b8ea455c32a5.jpg,REDEEMED,Multifamily,10227 20th St SE,Lake Stevens,WA,98258,47.980033,-122.093693,,Preferred Equity,0.15,7000000,2019-09-05T00:00:00.000-04:00,2020-05-15T00:00:00.000-04:00,False,0.1075,0.0,0.0,ANNUAL_INTEREST_RATE,15.0,"{'riskScore': '15', 'color': '#FF884C', 'letter': 'D', 'subletter': '1', 'full': 'D1'}",False,"{'description': 'The capital of the Pacific Northwest is a tech mecca situated on a narrow strip of land. Scarcity of real estate combined with massive wealth creation has driven nation-leading price appreciation, and opportunities for smart investors.', 'name': 'Seattle', 'thumbnailUrl': 'images/market-thumbnails/ef9e4aa8-cd4b-4dfc-b05a-ca153142e25d.jpg', 'urlSlug': 'seattle'}",
256,Station East,28000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/256/c43cb1fe-c25d-4ace-8705-a647881b2344.jpg,images/reit-elements/256/4ebc2050-c233-4d93-980b-640461bc6c9e.jpg,ACTIVE,Multifamily,700 Decoto Rd,Union City,CA,94587,37.595903,-122.016605,,Senior Debt,0.0,28000000,2019-09-03T00:00:00.000-04:00,,False,0.085,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
257,Multifamily,2192250.0,East Coast eREIT,3,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",East Coast eREIT,images/reit-elements/257/85203086-edd1-4549-9f7f-3689235f3162.jpg,images/reit-elements/257/ae241fc0-35d8-47a5-a579-33e7ee43cb5e.jpg,ACTIVE,Multifamily,1411 Hampton Ave,Greenville,SC,29601,34.866291,-82.41892,,Common Equity,0.0,2192250,2019-08-16T00:00:00.000-04:00,,True,0.0,0.098,0.129,PROJECTED_RETURN_RANGE,14.0,"{'riskScore': '14', 'color': '#FFAF40', 'letter': 'C', 'subletter': '3', 'full': 'C3'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
258,Hampton Station,2750000.0,East Coast eREIT,3,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",East Coast eREIT,images/reit-elements/258/e581f041-b108-4f82-a3ad-f2a02d3f96e6.jpg,images/reit-elements/258/ba24a15b-87f2-49f4-8ed2-405015870c66.jpg,ACTIVE,Multifamily,1320 Hampton Ave,Greenville,SC,29601,34.86597,-82.41553,,Common Equity,0.0,17810000,2019-08-16T00:00:00.000-04:00,,True,0.0,0.098,0.129,PROJECTED_RETURN_RANGE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
258,Hampton Station,15060000.0,Development eREIT,3,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",East Coast eREIT,images/reit-elements/258/e581f041-b108-4f82-a3ad-f2a02d3f96e6.jpg,images/reit-elements/258/ba24a15b-87f2-49f4-8ed2-405015870c66.jpg,ACTIVE,Multifamily,1320 Hampton Ave,Greenville,SC,29601,34.86597,-82.41553,,Common Equity,0.0,17810000,2019-08-16T00:00:00.000-04:00,,True,0.0,0.098,0.129,PROJECTED_RETURN_RANGE,13.0,"{'riskScore': '13', 'color': '#FFC533', 'letter': 'C', 'subletter': '2', 'full': 'C2'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
259,Single-family rental,266000.0,Fundrise eFund,8,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Fundrise eFund,images/reit-elements/259/1c80ca84-9982-4239-960f-58d8ff75d641.jpg,images/reit-elements/259/157658a3-07f1-419c-a087-5ceea007cdc5.jpg,ACTIVE,Single-family rental,Address not disclosed,Atlanta,GA,30310,33.739241,-84.418673,West End,Common Equity,0.0,266000,2019-09-16T00:00:00.000-04:00,,True,0.0,0.058,0.127,PROJECTED_RETURN_RANGE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
260,Single-family rental,697000.0,Fundrise eFund,8,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Fundrise eFund,images/reit-elements/260/063b25eb-2684-4c4f-93ae-06f502095fe6.jpg,images/reit-elements/260/1215b46d-c850-48e6-88f9-17b01263e42e.jpg,ACTIVE,Single-family rental,Address not disclosed,Los Angeles,CA,90018,34.021,-118.31866,Jefferson Park,Common Equity,0.0,697000,2019-08-20T00:00:00.000-04:00,,True,0.0,0.058,0.127,PROJECTED_RETURN_RANGE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
261,Industrial,5850000.0,Development eREIT,16,"{'description': 'Acquire real estate that needs improvements and / or lease-up.', 'id': '3', 'name': 'Value Add', 'urlSlug': 'value-add'}",Development eREIT,images/reit-elements/261/907e4334-d22d-41d7-a6fa-a67267c16b69.jpg,images/reit-elements/261/dadbcf42-d9e3-46ff-9555-e5533b4f21e6.jpg,ACTIVE,Industrial,Address not disclosed,Washington,DC,20002,38.915996,-77.000052,Eckington,Common Equity,0.0,5850000,2019-09-25T00:00:00.000-04:00,,False,0.0,0.076,0.109,PROJECTED_RETURN_RANGE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
262,Poinsett Apartments,14000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/262/458c86f9-08c9-4251-b126-f0bb76a48af6.jpg,images/reit-elements/262/fccb4da6-e75f-4143-be1c-728dfd273b29.jpg,REDEEMED,Multifamily,6001 Hampden Dr,Greenville,SC,29609,34.915799,-82.427639,,Preferred Equity,0.115,14000000,2019-09-30T00:00:00.000-04:00,2022-04-25T00:00:00.000-04:00,True,0.115,0.0,0.0,ANNUAL_INTEREST_RATE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
263,Ingleside Apartments,15000000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/263/8003a3a5-92d8-442d-8a5b-5f95311fe331.jpg,images/reit-elements/263/2ce4a571-d3b8-4125-b036-54b46bf44e4f.jpg,REDEEMED,Multifamily,3730 Ingleside Blvd,Ladson,SC,29456,32.979619,-80.086633,,Preferred Equity,0.115,15000000,2019-09-30T00:00:00.000-04:00,2022-04-25T00:00:00.000-04:00,True,0.115,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
264,Single-family rental,697000.0,Fundrise eFund,8,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Fundrise eFund,images/reit-elements/264/ce23d7b4-c01a-453e-956c-1f89babcbc8e.jpg,images/reit-elements/264/6782fbcd-4236-4691-b20b-190625c9ea1e.jpg,ACTIVE,Single-family rental,Address not disclosed,Los Angeles,CA,90062,34.00743,-118.30862,South Los Angeles,Common Equity,0.0,697000,2019-09-24T00:00:00.000-04:00,,True,0.0,0.054,0.119,PROJECTED_RETURN_RANGE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
265,Single-family rental,668000.0,Fundrise eFund,8,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Fundrise eFund,images/reit-elements/265/df671ec8-4e97-48bd-81ef-c3620b93527b.jpg,images/reit-elements/265/5f1ddb9a-797b-461f-947b-89f0324ce93d.jpg,ACTIVE,Single-family rental,Address not disclosed,Los Angeles,CA,90018,34.023518,-118.327443,South Los Angeles,Common Equity,0.0,668000,2019-10-02T00:00:00.000-04:00,,True,0.0,0.058,0.127,PROJECTED_RETURN_RANGE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
266,Multifamily,4500000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/266/d87eebdb-1d48-4737-80cf-c3b4cfc72c16.png,images/reit-elements/266/eddc55c8-c021-4917-bdcf-f462df960e2d.png,REDEEMED,Multifamily,2405 Â 2423 Hauser Blvd,Los Angeles,CA,90016,34.03472,-118.36225,West Adams,Senior Debt,0.108,4500000,2019-10-08T00:00:00.000-04:00,2020-05-07T00:00:00.000-04:00,False,0.08,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
267,Multifamily,3350000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/267/8e55bf5d-0f11-4913-a81b-7b5b6ecbf134.jpg,images/reit-elements/267/fb9f8704-9f0e-48bc-a493-b6cc25f47976.jpg,ACTIVE,Multifamily,1550 Â 1556 S Fairfax Avenue,Los Angeles,CA,90019,34.048049,-118.36715,Mid-City,Senior Debt,0.0,3350000,2019-10-15T00:00:00.000-04:00,,False,0.08,0.0,0.0,ANNUAL_INTEREST_RATE,11.0,"{'riskScore': '11', 'color': '#39E68F', 'letter': 'B', 'subletter': '3', 'full': 'B3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
268,Multifamily,6650000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/268/0e8250ac-5f3f-430f-a08c-e233d8d116ce.jpg,images/reit-elements/268/d8635716-2018-4e0b-87be-3d255fe9f52d.jpg,REDEEMED,Multifamily,1500 Hi Point Street,Los Angeles,CA,90035,34.04975,-118.36888,Mid-City,Senior Debt,0.08,6650000,2019-10-16T00:00:00.000-04:00,2021-03-08T00:00:00.000-05:00,False,0.08,0.0,0.0,ANNUAL_INTEREST_RATE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
269,Other,2750000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/269/6f51bcef-6457-4653-860d-5a0cdf933af1.jpg,images/reit-elements/269/d3628ae5-7a72-4c49-bcbd-6a51e87ea324.jpg,REDEEMED,Other,686 N Spring St,Los Angeles,CA,90012,34.059541520271,-118.23774933815,Chinatown,Senior Debt,0.085,2750000,2019-10-24T00:00:00.000-04:00,2021-02-12T00:00:00.000-05:00,False,0.0795,0.0,0.0,ANNUAL_INTEREST_RATE,8.0,"{'riskScore': '8', 'color': '#737EFF', 'letter': 'A', 'subletter': '3', 'full': 'A3'}",False,"{'description': 'The City of Angels boasts the nationÂs second-largest economy Â and a massive housing shortage. For those who can navigate the complexities of building new homes in LA, opportunities to earn outsized returns abound.', 'name': 'Los Angeles', 'thumbnailUrl': 'images/market-thumbnails/24e9b459-f3a8-425c-84ce-21225a12cb64.jpg', 'urlSlug': 'los-angeles'}",
270,Icon at Harbour Island,4000000.0,East Coast eREIT,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/270/534c1422-7f7a-4236-a2a3-8770687ff8ea.jpg,images/reit-elements/270/98589eba-81b6-4629-a7c0-b5a0bcaa66df.jpg,REDEEMED,Multifamily,301 Harbour Place Drive,Tampa,FL,33602,27.93817,-82.452198,,Preferred Equity,0.092,30775000,2019-11-08T00:00:00.000-05:00,2021-02-25T00:00:00.000-05:00,False,0.0864,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
270,Icon at Harbour Island,26775000.0,Income Real Estate Fund,25,"{'description': 'Provide real estate backed loans or similar financing', 'id': '1', 'name': 'Fixed Income', 'urlSlug': 'fixed-income'}",Income Real Estate Fund,images/reit-elements/270/534c1422-7f7a-4236-a2a3-8770687ff8ea.jpg,images/reit-elements/270/98589eba-81b6-4629-a7c0-b5a0bcaa66df.jpg,REDEEMED,Multifamily,301 Harbour Place Drive,Tampa,FL,33602,27.93817,-82.452198,,Preferred Equity,0.092,30775000,2019-11-08T00:00:00.000-05:00,2021-02-25T00:00:00.000-05:00,False,0.0864,0.0,0.0,ANNUAL_INTEREST_RATE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,"{'description': 'From Atlanta to Phoenix, cities in the southern third of the United States are growing faster than their northern counterparts, which is driving strong and continued demand for real estate.', 'name': 'The Sunbelt', 'thumbnailUrl': 'images/market-thumbnails/0f7c9c6c-13b3-474b-b9c1-6a14bb3420cd.png', 'urlSlug': 'sunbelt'}",
271,Multifamily,7660000.0,Development eREIT,16,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Development eREIT,images/reit-elements/271/871939f4-0a7a-4b9c-9d05-20c47cee393a.jpg,images/reit-elements/271/61e86788-5501-42c1-85a1-910799006187.jpg,ACTIVE,Multifamily,Address not disclosed,Brentwood,MD,20722,38.942882,-76.949288,,Common Equity,0.0,7660000,2019-11-08T00:00:00.000-05:00,,False,0.0,0.068,0.106,PROJECTED_RETURN_RANGE,10.0,"{'riskScore': '10', 'color': '#3FBFFF', 'letter': 'B', 'subletter': '2', 'full': 'B2'}",False,,
272,Industrial,6520000.0,Development eREIT,16,"{'description': 'Acquire and (re)develop properties, often from the ground up', 'id': '4', 'name': 'Opportunistic', 'urlSlug': 'opportunistic'}",Development eREIT,images/reit-elements/272/5f667d96-72bf-4864-8e7d-1e5a54b4b4d7.jpg,images/reit-elements/272/3f5a6dde-8fe3-4e15-8ef5-24005b988239.jpg,ACTIVE,Industrial,Address not disclosed,Brentwood,MD,20722,38.942426,-76.951885,,Common Equity,0.0,6520000,2019-11-08T00:00:00.000-05:00,,False,0.0,0.069,0.091,PROJECTED_RETURN_RANGE,12.0,"{'riskScore': '12', 'color': '#ACE639', 'letter': 'C', 'subletter': '1', 'full': 'C1'}",False,,
